id;name;muscleGroup;equipment;movementPattern;level;goals;defaultSets;repsMin;repsMax;restSeconds;tags;alternatives
wger-1962-step-jack;Step Jack;Legs;none (bodyweight exercise);Other;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|none-bodyweight-exercise|other|quadriceps-femoris;
wger-1963-slow-squat;Slow Squat;Legs;none (bodyweight exercise);Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|none-bodyweight-exercise|squat|quadriceps-femoris;
wger-1964-wide-push-up;Wide Push-Up;Chest;none (bodyweight exercise);HorizontalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|horizontalpush|pectoralis-major;
wger-1965-marching-high-knees;Marching High Knees;Legs;none (bodyweight exercise);Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|none-bodyweight-exercise|squat|quadriceps-femoris;
wger-31-axe-hold;Axe Hold;Arms;Dumbbell;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|dumbbell|isolation;
wger-805-tricep-pushdown-on-cable;Tricep Pushdown on Cable;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation|triceps-brachii;
wger-981-step-ups;Step-ups;Legs;Bench;Squat;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;120;wger|legs|bench|squat;
wger-980-commando-pull-ups;commando pull-ups;Core;Bodyweight;Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|bodyweight|anterior-deltoid|biceps-brachii|latissimus-dorsi;
wger-1022-single-arm-plank-to-row;Single Arm Plank to Row;Back;Kettlebell;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|kettlebell|pull|anterior-deltoid|biceps-brachii|brachialis;
wger-820-fingerboard-20-mm-edge;Fingerboard 20 mm edge;Arms;Bodyweight;Isolation;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;15;75;wger|arms|bodyweight|isolation;
wger-828-incline-bench-reverse-fly;Incline Bench Reverse Fly;Back;Dumbbell;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|dumbbell|pull|anterior-deltoid|trapezius;
wger-907-handstand-push-up;Handstand Push Up;Shoulders;Bodyweight;VerticalPush;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|shoulders|bodyweight|verticalpush|anterior-deltoid|triceps-brachii;
wger-908-zone-2-running;Zone 2 Running;Other;Bodyweight;Bodyweight;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|other|bodyweight;
wger-923-lying-dumbbell-row-ss-seated-shrug;LYING DUMBBELL ROW SS SEATED SHRUG;Back;Dumbbell;Pull;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|back|dumbbell|pull|latissimus-dorsi;
wger-927-suspended-crossess;Suspended crossess;Chest;none (bodyweight exercise);Other;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;8;12;90;wger|chest|none-bodyweight-exercise|other|pectoralis-major;
wger-958-biceps-with-trx;Biceps with TRX;Core;none (bodyweight exercise);Core;Intermediate;FatLoss|Definition|MuscleGain|Fitness;3;12;20;60;wger|core|none-bodyweight-exercise|biceps-brachii;
